2026-06-19 21:43:17,507 | INFO | Loading analysis.xlsx
2026-06-19 21:43:18,132 | INFO | analysis.xlsx loaded successfully
2026-06-19 21:43:18,133 | INFO | Loading balancesheet.xlsx
2026-06-19 21:43:18,325 | INFO | balancesheet.xlsx loaded successfully
2026-06-19 21:43:18,325 | INFO | Loading cashflow.xlsx
2026-06-19 21:43:18,438 | INFO | cashflow.xlsx loaded successfully
2026-06-19 21:43:18,438 | INFO | Loading companies.xlsx
2026-06-19 21:43:18,470 | INFO | companies.xlsx loaded successfully
2026-06-19 21:43:18,471 | INFO | Loading documents.xlsx
2026-06-19 21:43:18,559 | INFO | documents.xlsx loaded successfully
2026-06-19 21:43:18,559 | INFO | Loading financial_ratios.xlsx
2026-06-19 21:43:18,894 | INFO | financial_ratios.xlsx loaded successfully
2026-06-19 21:43:18,894 | INFO | Loading market_cap.xlsx
2026-06-19 21:43:18,957 | INFO | market_cap.xlsx loaded successfully
2026-06-19 21:43:18,957 | INFO | Loading peer_groups.xlsx
2026-06-19 21:43:18,970 | INFO | peer_groups.xlsx loaded successfully
2026-06-19 21:43:18,970 | INFO | Loading profitandloss.xlsx
2026-06-19 21:43:19,234 | INFO | profitandloss.xlsx loaded successfully
2026-06-19 21:43:19,234 | INFO | Loading prosandcons.xlsx
2026-06-19 21:43:19,249 | INFO | prosandcons.xlsx loaded successfully
2026-06-19 21:43:19,249 | INFO | Loading sectors.xlsx
2026-06-19 21:43:19,279 | INFO | sectors.xlsx loaded successfully
2026-06-19 21:43:19,279 | INFO | Loading stock_prices.xlsx
2026-06-19 21:43:19,969 | INFO | stock_prices.xlsx loaded successfully
2026-06-22 22:15:38,437 | INFO | Loading analysis.xlsx
2026-06-22 22:15:38,697 | INFO | analysis.xlsx loaded successfully
2026-06-22 22:15:38,697 | INFO | Loading balancesheet.xlsx
2026-06-22 22:15:38,889 | INFO | balancesheet.xlsx loaded successfully
2026-06-22 22:15:38,889 | INFO | Loading cashflow.xlsx
2026-06-22 22:15:39,017 | INFO | cashflow.xlsx loaded successfully
2026-06-22 22:15:39,018 | INFO | Loading companies.xlsx
2026-06-22 22:15:39,077 | INFO | companies.xlsx loaded successfully
2026-06-22 22:15:39,077 | INFO | Loading documents.xlsx
2026-06-22 22:15:39,188 | INFO | documents.xlsx loaded successfully
2026-06-22 22:15:39,188 | INFO | Loading financial_ratios.xlsx
2026-06-22 22:15:39,375 | INFO | financial_ratios.xlsx loaded successfully
2026-06-22 22:15:39,375 | INFO | Loading market_cap.xlsx
2026-06-22 22:15:39,439 | INFO | market_cap.xlsx loaded successfully
2026-06-22 22:15:39,439 | INFO | Loading peer_groups.xlsx
2026-06-22 22:15:39,457 | INFO | peer_groups.xlsx loaded successfully
2026-06-22 22:15:39,457 | INFO | Loading profitandloss.xlsx
2026-06-22 22:15:39,567 | INFO | profitandloss.xlsx loaded successfully
2026-06-22 22:15:39,567 | INFO | Loading prosandcons.xlsx
2026-06-22 22:15:39,584 | INFO | prosandcons.xlsx loaded successfully
2026-06-22 22:15:39,584 | INFO | Loading sectors.xlsx
2026-06-22 22:15:39,607 | INFO | sectors.xlsx loaded successfully
2026-06-22 22:15:39,607 | INFO | Loading stock_prices.xlsx
2026-06-22 22:15:40,077 | INFO | stock_prices.xlsx loaded successfully
2026-06-23 23:34:37,795 | INFO | Loading analysis.xlsx
2026-06-23 23:34:38,607 | INFO | analysis.xlsx loaded successfully
2026-06-23 23:34:38,608 | INFO | Loading balancesheet.xlsx
2026-06-23 23:34:39,034 | INFO | balancesheet.xlsx loaded successfully
2026-06-23 23:34:39,035 | INFO | Loading cashflow.xlsx
2026-06-23 23:34:39,308 | INFO | cashflow.xlsx loaded successfully
2026-06-23 23:34:39,309 | INFO | Loading companies.xlsx
2026-06-23 23:34:39,618 | INFO | companies.xlsx loaded successfully
2026-06-23 23:34:39,619 | INFO | Loading documents.xlsx
2026-06-23 23:34:40,129 | INFO | documents.xlsx loaded successfully
2026-06-23 23:34:40,129 | INFO | Loading financial_ratios.xlsx
2026-06-23 23:34:40,512 | INFO | financial_ratios.xlsx loaded successfully
2026-06-23 23:34:40,512 | INFO | Loading market_cap.xlsx
2026-06-23 23:34:40,624 | INFO | market_cap.xlsx loaded successfully
2026-06-23 23:34:40,624 | INFO | Loading peer_groups.xlsx
2026-06-23 23:34:40,665 | INFO | peer_groups.xlsx loaded successfully
2026-06-23 23:34:40,665 | INFO | Loading profitandloss.xlsx
2026-06-23 23:34:41,062 | INFO | profitandloss.xlsx loaded successfully
2026-06-23 23:34:41,062 | INFO | Loading prosandcons.xlsx
2026-06-23 23:34:41,095 | INFO | prosandcons.xlsx loaded successfully
2026-06-23 23:34:41,095 | INFO | Loading sectors.xlsx
2026-06-23 23:34:41,135 | INFO | sectors.xlsx loaded successfully
2026-06-23 23:34:41,135 | INFO | Loading stock_prices.xlsx
2026-06-23 23:34:42,091 | INFO | stock_prices.xlsx loaded successfully
2026-06-23 23:37:31,214 | INFO | Loading analysis.xlsx
2026-06-23 23:37:31,618 | INFO | analysis.xlsx loaded successfully
2026-06-23 23:37:31,618 | INFO | Loading balancesheet.xlsx
2026-06-23 23:37:31,862 | INFO | balancesheet.xlsx loaded successfully
2026-06-23 23:37:31,862 | INFO | Loading cashflow.xlsx
2026-06-23 23:37:32,047 | INFO | cashflow.xlsx loaded successfully
2026-06-23 23:37:32,047 | INFO | Loading companies.xlsx
2026-06-23 23:37:32,092 | INFO | companies.xlsx loaded successfully
2026-06-23 23:37:32,092 | INFO | Loading documents.xlsx
2026-06-23 23:37:32,211 | INFO | documents.xlsx loaded successfully
2026-06-23 23:37:32,212 | INFO | Loading financial_ratios.xlsx
2026-06-23 23:37:32,449 | INFO | financial_ratios.xlsx loaded successfully
2026-06-23 23:37:32,450 | INFO | Loading market_cap.xlsx
2026-06-23 23:37:32,522 | INFO | market_cap.xlsx loaded successfully
2026-06-23 23:37:32,522 | INFO | Loading peer_groups.xlsx
2026-06-23 23:37:32,550 | INFO | peer_groups.xlsx loaded successfully
2026-06-23 23:37:32,550 | INFO | Loading profitandloss.xlsx
2026-06-23 23:37:32,752 | INFO | profitandloss.xlsx loaded successfully
2026-06-23 23:37:32,752 | INFO | Loading prosandcons.xlsx
2026-06-23 23:37:32,773 | INFO | prosandcons.xlsx loaded successfully
2026-06-23 23:37:32,773 | INFO | Loading sectors.xlsx
2026-06-23 23:37:32,804 | INFO | sectors.xlsx loaded successfully
2026-06-23 23:37:32,804 | INFO | Loading stock_prices.xlsx
2026-06-23 23:37:33,367 | INFO | stock_prices.xlsx loaded successfully
2026-06-23 23:51:49,423 | INFO | Loading analysis.xlsx
2026-06-23 23:51:49,891 | INFO | analysis.xlsx loaded successfully
2026-06-23 23:51:49,891 | INFO | Loading balancesheet.xlsx
2026-06-23 23:51:50,174 | INFO | balancesheet.xlsx loaded successfully
2026-06-23 23:51:50,174 | INFO | Loading cashflow.xlsx
